PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,22.0,1,0,7.25,2
2,1,1,2,38.0,1,0,71.2833,1
3,1,3,2,26.0,0,0,7.925,2
4,1,1,2,35.0,1,0,53.1,2
5,0,3,1,35.0,0,0,8.05,2
6,0,3,1,29.69911764705882,0,0,8.4583,3
7,0,1,1,54.0,0,0,51.8625,2
8,0,3,1,2.0,3,1,21.075,2
9,1,3,2,27.0,0,2,11.1333,2
10,1,2,2,14.0,1,0,30.0708,1
11,1,3,2,4.0,1,1,16.7,2
12,1,1,2,58.0,0,0,26.55,2
13,0,3,1,20.0,0,0,8.05,2
14,0,3,1,39.0,1,5,31.275,2
15,0,3,2,14.0,0,0,7.8542,2
16,1,2,2,55.0,0,0,16.0,2
17,0,3,1,2.0,4,1,29.125,3
18,1,2,1,29.69911764705882,0,0,13.0,2
19,0,3,2,31.0,1,0,18.0,2
20,1,3,2,29.69911764705882,0,0,7.225,1
21,0,2,1,35.0,0,0,26.0,2
22,1,2,1,34.0,0,0,13.0,2
23,1,3,2,15.0,0,0,8.0292,3
24,1,1,1,28.0,0,0,35.5,2
25,0,3,2,8.0,3,1,21.075,2
26,1,3,2,38.0,1,5,31.3875,2
27,0,3,1,29.69911764705882,0,0,7.225,1
28,0,1,1,19.0,3,2,263.0,2
29,1,3,2,29.69911764705882,0,0,7.8792,3
30,0,3,1,29.69911764705882,0,0,7.8958,2
31,0,1,1,40.0,0,0,27.7208,1
32,1,1,2,29.69911764705882,1,0,146.5208,1
33,1,3,2,29.69911764705882,0,0,7.75,3
34,0,2,1,66.0,0,0,10.5,2
35,0,1,1,28.0,1,0,82.1708,1
36,0,1,1,42.0,1,0,52.0,2
37,1,3,1,29.69911764705882,0,0,7.2292,1
38,0,3,1,21.0,0,0,8.05,2
39,0,3,2,18.0,2,0,18.0,2
40,1,3,2,14.0,1,0,11.2417,1
41,0,3,2,40.0,1,0,9.475,2
42,0,2,2,27.0,1,0,21.0,2
